variety,soil_type,season,seeding_method,fertilizer_kg_ha,temperature_avg,rainfall_mm,humidity_avg,historical_yield_tons_ha,yield_tons_ha
IR64,Clay Loam,Wet,Direct Seeded,100.28347703203575,23.16462748891632,252.69085997268894,70.72240557969823,5.298727779487653,4.28
NSIC Rc 160,Silty Clay,Dry,Transplanted,56.306719411391704,30.79766937909565,65.0468041009548,77.02212126019796,3.1382465195455262,4.16
NSIC 218,Clay Loam,Wet,Direct Seeded,139.7356639777845,26.403129757519057,275.56673471304987,76.04570608993838,3.5926274387618204,5.78
IR64,Clay,Wet,Transplanted,178.2230079488282,28.252083217429302,359.1190951541024,72.03883645886398,3.4895577303774084,4.53
NSIC Rc 222,Clay Loam,Wet,Direct Seeded,107.23615817382768,26.90410361136805,170.8560855527884,79.18505705441149,3.2078908778797897,5.57
NSIC Rc 222,Sandy Loam,Dry,Transplanted,161.00539174762656,30.725665183579636,78.29668618469807,74.19872211905658,5.479512307378734,5.52
Dinorado,Sandy Loam,Dry,Transplanted,144.15506204011098,27.469348524482108,58.93813575154398,60.636914750219184,3.6616766363291635,4.89
Dinorado,Clay,Wet,Transplanted,106.34731032395013,26.80781417949113,282.58383719667626,84.43149322943813,5.321526941498796,5.62
NSIC Rc 160,Clay Loam,Wet,Transplanted,71.15896992384457,31.246009904217125,203.6550686678056,63.39467348261158,3.6714204215589685,4.6
IR64,Clay,Dry,Direct Seeded,156.39857791639508,29.196895960453546,141.17565306074053,73.92269792674091,3.1122750362219826,4.31
IR64,Clay Loam,Wet,Direct Seeded,178.18477534118608,23.115499073468573,234.9514863739406,77.39702372782492,2.8576189920481334,4.34
Dinorado,Silty Clay,Wet,Transplanted,152.8781738602238,23.77704461196814,311.1072061605686,81.16518162579872,5.066689579526516,4.8
IR64,Sandy Loam,Dry,Direct Seeded,52.68177260522271,29.87122862939442,88.75424165789347,72.32389605863848,2.596292921455235,3.5
IR64,Clay,Dry,Transplanted,82.43493415864869,30.358513211799544,128.00497435256554,82.06645461091594,5.393183765017844,4.42
NSIC Rc 222,Silty Clay,Dry,Transplanted,60.42199773252979,27.451908290902963,116.50199658778124,63.94050254155711,3.7545736353566452,5.61
Dinorado,Silty Clay,Wet,Direct Seeded,135.55791493643403,27.544552278666394,156.8071030842121,79.60336644812337,3.2421230532530716,5.03
NSIC 218,Clay,Wet,Transplanted,163.47165182606187,28.319329628514446,298.4562747432907,84.79016782757108,4.352338396646088,5.92
Dinorado,Clay,Wet,Transplanted,66.58687806029891,26.391157742826394,220.8605598634374,86.68331918512504,2.898738975508559,4.8
NSIC 218,Silty Clay,Wet,Transplanted,175.7506730890078,28.80199123483904,317.3710902020181,77.38699487861668,2.7164367206990674,5.17
NSIC Rc 222,Clay Loam,Dry,Transplanted,133.32634675932246,23.084812575664156,102.56328329748871,69.38685594225112,4.983350055728701,5.53
NSIC Rc 160,Silty Clay,Wet,Transplanted,153.49535182125874,31.612792423673863,185.39533797826357,64.90069535140879,3.77401232387598,4.35
IR64,Clay,Wet,Direct Seeded,195.71027729129693,29.501548237949216,333.95290095404465,70.36676258632335,4.0547647363135955,4.46
NSIC Rc 222,Silty Clay,Dry,Direct Seeded,62.5521482371546,28.311742040090067,79.56442476236151,76.1992311946332,3.0300880266251946,4.62
IR64,Clay Loam,Dry,Direct Seeded,185.1836034466684,25.163220570094808,10.30432972942225,65.88990671974682,2.6842727335808267,4.12
NSIC Rc 160,Sandy Loam,Wet,Transplanted,68.91540439811139,23.60955487456729,311.4099299407445,88.57544717079278,3.60332839795554,4.42
NSIC Rc 160,Sandy Loam,Dry,Transplanted,108.94382099550234,26.093429638289447,95.88546407729173,86.91406286618728,4.018438757140268,4.67
NSIC Rc 222,Silty Clay,Dry,Transplanted,177.71580444966713,28.615767405740584,59.83404342034968,60.988715845962936,4.796291865634084,5.92
NSIC Rc 160,Clay Loam,Wet,Transplanted,185.93813551068024,28.33709743423111,392.81045822008775,76.85885394691167,4.00315600070639,4.48
NSIC 218,Sandy Loam,Wet,Transplanted,125.9557510317718,25.826411550655713,377.808840814537,83.67926370739839,4.847521053057709,5.63
NSIC Rc 160,Silty Clay,Wet,Transplanted,139.11569574131377,28.132863938331298,220.82571579992558,67.3617587980202,2.8462983390229417,4.71
IR64,Silty Clay,Wet,Direct Seeded,156.2221001897836,30.137482955675473,156.82914318135926,75.71688697178232,2.691888316131855,4.12
IR64,Clay Loam,Dry,Transplanted,174.9138002679071,22.26284772337607,26.48670335218463,72.17975647228137,2.976582892430355,3.98
IR64,Clay,Dry,Direct Seeded,68.22667543064992,26.50621047930276,72.24767690569087,65.89638792654229,4.816036380666185,4.18
IR64,Silty Clay,Wet,Transplanted,171.51039623438413,29.585552284667912,313.84214027793945,78.44212151627468,4.777990692516104,4.58
NSIC 218,Clay,Wet,Direct Seeded,122.19142257674251,27.46144470463377,300.72184725116813,89.81076526220492,2.9241034135319244,5.35
Dinorado,Clay,Dry,Transplanted,117.59351376622534,28.514760879290698,112.97746511966267,70.95861780839834,2.5929659747520395,4.94
NSIC Rc 222,Sandy Loam,Wet,Direct Seeded,113.58496279954974,27.16676392605342,156.85719219161152,76.57137024793401,4.555845808636495,5.45
IR64,Clay,Wet,Direct Seeded,126.38173778690638,31.91874544682311,180.66938230064818,69.83564044864502,5.065845349728932,3.99
NSIC Rc 160,Clay Loam,Wet,Transplanted,191.75758300919054,22.546215364890383,296.1754261339964,86.3084585040749,4.762323086530547,5.08
IR64,Sandy Loam,Wet,Transplanted,132.23056591882272,26.910448217723772,377.956816010873,85.9380810127108,3.1083969418452346,4.33
NSIC Rc 160,Sandy Loam,Dry,Direct Seeded,192.9766307394709,22.914165491145177,144.63489125781857,65.36320163843911,4.251303691676007,4.25
NSIC Rc 160,Sandy Loam,Wet,Transplanted,77.04351959234609,23.597855621135704,376.6250691283517,86.99846622714182,4.772097161876624,4.39
IR64,Silty Clay,Dry,Transplanted,158.62039682489495,25.83038350418262,62.37468475709148,64.54526133168201,3.2674861136411186,4.53
NSIC 218,Silty Clay,Wet,Transplanted,171.83593079131208,23.555400915004874,187.8712636530187,62.86319878876003,4.083162404108359,6.24
NSIC Rc 160,Clay,Wet,Direct Seeded,151.8693247002293,31.63687165956651,246.1434866013124,79.58803847104596,3.4433812119213107,4.17
NSIC Rc 160,Sandy Loam,Dry,Transplanted,141.03834203398105,31.467897767251593,85.98126181869674,71.57712317609685,3.1767262519810635,4.49
IR64,Sandy Loam,Wet,Direct Seeded,134.72191716292735,25.36109646220604,160.80071608804352,75.92221780385613,5.4087679803125575,4.23
NSIC Rc 160,Clay Loam,Dry,Direct Seeded,179.1395723868044,28.397477120376795,129.1742136709019,79.5771234581239,5.237745881160778,5.2
NSIC Rc 160,Clay,Wet,Transplanted,173.246989574675,27.33753320593786,267.31796159073224,61.585117133789545,3.837003192854461,5.12
IR64,Clay Loam,Wet,Direct Seeded,68.34330817708992,30.155869805157685,338.2708649183014,68.7885951327298,2.910334183191929,4.07
IR64,Clay,Wet,Transplanted,177.28814855463173,28.274456098169424,347.4931778414028,73.82718935306602,4.683721909961946,4.97
NSIC Rc 222,Clay,Wet,Transplanted,112.11029291606637,22.002524544905622,274.74736664914326,67.99762229417796,3.2671033903846607,5.33
NSIC 218,Silty Clay,Wet,Direct Seeded,88.05452449937161,29.631743856097387,173.96741867705458,61.46914152856563,3.0055534175142835,4.72
NSIC 218,Silty Clay,Dry,Direct Seeded,180.4652852020889,29.46848121296118,56.75991879300207,62.6002971969316,3.6445870532145537,5.12
NSIC Rc 160,Clay Loam,Dry,Direct Seeded,114.80371994506125,27.09722705566481,29.916014295914152,84.052436062612,4.089549427500217,3.88
NSIC 218,Clay,Wet,Direct Seeded,171.25470352652252,31.029189732330536,245.3409937953916,87.34160277638779,2.7923209894612437,4.93
NSIC Rc 160,Sandy Loam,Wet,Direct Seeded,89.51054179337667,31.084462056904016,383.0254899935911,64.56699907291346,4.215239419145579,3.95
NSIC Rc 222,Silty Clay,Dry,Transplanted,50.58939821333267,27.239116767043974,49.463456372576466,67.47785871874457,2.546045124287865,5.22
IR64,Sandy Loam,Dry,Direct Seeded,124.31887893544166,28.079882311965378,135.8771961731743,79.56748214193209,5.1756071817792595,4.45
IR64,Clay Loam,Wet,Transplanted,65.03423849643264,31.965220719246723,207.40313912992866,88.62815328277341,5.262225067836599,4.13
IR64,Silty Clay,Wet,Transplanted,163.15639332873644,24.988202348114175,229.93861247818162,68.98769127399814,4.699212320535555,4.38
NSIC 218,Silty Clay,Dry,Direct Seeded,91.41127041041156,25.246172423114775,32.31503518465728,85.65640878708004,3.8996482257225327,5.0
NSIC Rc 222,Clay,Wet,Direct Seeded,116.54684699052181,23.827739026634962,336.70679386576774,75.1807393335113,3.2646888116899335,5.29
NSIC 218,Clay Loam,Dry,Direct Seeded,63.05503476373313,30.95866939157868,56.09094854094949,88.69675917242341,4.732336272134189,4.6
NSIC 218,Clay,Wet,Direct Seeded,92.9988872670879,29.444883899492662,333.3951972214845,64.08775987284574,5.2953916058561905,5.03
NSIC Rc 222,Silty Clay,Dry,Direct Seeded,167.22353648878578,23.05642848870242,75.04964347004768,89.2101719462396,2.975601114692319,5.72
NSIC Rc 222,Clay Loam,Dry,Transplanted,72.73818678534792,31.817673511979656,128.5958512887288,73.22935883488525,3.897465967893094,5.62
NSIC Rc 222,Silty Clay,Wet,Transplanted,147.0739341690436,29.30961708161116,378.0505720062331,88.58815171278785,3.4457849081077843,5.18
NSIC Rc 222,Clay Loam,Dry,Transplanted,187.61387792067518,30.505221096049745,141.27985971141646,73.76070651154558,3.5702253671377298,5.87
IR64,Silty Clay,Wet,Direct Seeded,151.97551396365805,22.481507891732008,247.02967268009385,75.90246402361734,3.7172733439687975,4.56
Dinorado,Sandy Loam,Wet,Direct Seeded,171.653253393834,27.049609189421677,278.6496809685728,84.14325029331962,5.355389033114015,5.13
Dinorado,Sandy Loam,Wet,Transplanted,66.34574439558737,28.985982867270394,266.8481153051194,81.67885502218182,3.2759115036042807,4.44
NSIC Rc 222,Clay,Wet,Direct Seeded,87.60977390030817,27.42946584571841,381.9380427556133,78.58809961251856,3.9780275172805197,5.58
Dinorado,Sandy Loam,Dry,Direct Seeded,184.18082783608867,28.666474656992776,69.61344334865568,72.50940070768668,5.354462414985371,5.25
Dinorado,Silty Clay,Wet,Direct Seeded,157.2658420427134,30.178740635904724,342.3326472061587,83.77315102198817,3.9281706706549517,4.8
NSIC Rc 222,Silty Clay,Wet,Transplanted,145.93307395659667,25.743370629601962,357.86044495846204,88.44684999867961,5.09079856576436,5.85
Dinorado,Sandy Loam,Wet,Direct Seeded,149.56501041825499,30.486686756187098,183.27456720735273,60.294326908290806,2.676294322975843,4.71
NSIC 218,Clay,Wet,Transplanted,112.13008314569652,23.629161047652907,347.96167321704,77.63535289357984,5.359091255389708,5.72
NSIC Rc 160,Sandy Loam,Dry,Direct Seeded,56.68349474264798,24.708860550263747,140.47356676949218,85.97942786935045,3.062593441078153,3.91
NSIC Rc 160,Clay Loam,Wet,Direct Seeded,167.66623131060936,22.43345619927326,258.24469151437427,79.59337612036671,5.439805104193852,4.51
NSIC Rc 222,Clay Loam,Dry,Transplanted,151.80698543230307,25.64426811335251,32.604273280085636,84.0248777350001,3.0267305957756454,5.93
IR64,Clay Loam,Dry,Direct Seeded,120.92066961690871,25.799095448241204,31.959320865491854,86.85183311546956,3.8330978433849223,4.63
NSIC Rc 222,Sandy Loam,Dry,Direct Seeded,184.96394230523862,30.05270597207251,142.8951147488717,82.52853047559174,3.4258434747176336,6.18
IR64,Sandy Loam,Wet,Direct Seeded,100.42394974776482,28.531306702896558,155.8346707076618,81.51052204094299,3.799694263285132,4.11
NSIC Rc 160,Sandy Loam,Wet,Transplanted,94.14826163468538,26.367225581556667,165.02208818582116,88.94237674091755,3.2515742197765762,4.42
NSIC Rc 222,Clay Loam,Wet,Direct Seeded,180.9194487619164,28.521139786237484,319.47698493371115,85.91053973674718,5.395952237282925,5.72
NSIC 218,Clay,Wet,Direct Seeded,169.5481482138478,22.527833505156913,243.00311028649247,84.46133608748322,3.417174952219275,5.25
Dinorado,Silty Clay,Dry,Direct Seeded,127.24697159725172,23.80271536018376,81.35521869396636,62.59210081415628,4.459824736192669,4.3
IR64,Sandy Loam,Dry,Direct Seeded,69.6102109186775,28.26947855241755,36.02709694955355,67.17089649418253,2.9123424687963655,3.6
Dinorado,Clay,Wet,Direct Seeded,82.26072071975787,28.413668192253024,367.0288933058701,76.70268072975269,4.973162454549652,4.66
Dinorado,Silty Clay,Wet,Transplanted,148.434198561321,29.741346587074272,333.5682834689666,81.2868031492444,4.12752383052854,4.91
NSIC Rc 222,Silty Clay,Wet,Transplanted,107.75618567606175,26.02999759053602,155.42000291674043,69.0964467990143,5.438338373593948,5.61
Dinorado,Silty Clay,Wet,Direct Seeded,175.47097874989566,29.22554096616156,321.7220779590005,62.7998433936247,3.7702066505003056,5.13
NSIC 218,Clay,Wet,Direct Seeded,192.49325139983063,28.839803325601892,198.08811818308905,69.33297560445743,3.086343624929981,5.29
Dinorado,Clay,Wet,Transplanted,170.84553879123774,31.633933783698488,255.64564217597803,83.13087541741558,3.5380569983229506,4.57
NSIC Rc 222,Clay Loam,Wet,Direct Seeded,106.63181344933358,24.15130226424679,306.18380053074065,86.32203088024119,4.710896818280483,5.18
NSIC 218,Clay,Dry,Direct Seeded,168.30296438471362,27.516795637526393,78.31865188057866,87.38710945033029,4.477319562987628,5.37
NSIC Rc 160,Clay,Dry,Direct Seeded,102.71625102060253,28.01764442110469,119.64956175306722,71.36600037432443,4.8350422228531755,4.23
Dinorado,Clay,Dry,Direct Seeded,75.06501316484508,31.986478849342205,125.76885120129332,71.1761572458059,2.720410876612627,3.8
NSIC Rc 222,Silty Clay,Dry,Direct Seeded,55.00898072987861,24.011841421666517,130.9556959308939,72.20122412915373,4.241106326034359,4.63
NSIC Rc 160,Sandy Loam,Wet,Direct Seeded,107.857506914153,27.23218019967292,368.1794603239232,71.27428408264343,5.296506031108914,4.45
NSIC Rc 160,Clay Loam,Wet,Direct Seeded,185.53389555459228,25.46185307713639,264.0244720979848,79.98589822521629,2.8237057584447323,4.58
IR64,Sandy Loam,Wet,Direct Seeded,85.84798816335147,27.258929685789997,352.1226135477836,70.74969786395978,2.7830057767389365,4.44
NSIC 218,Sandy Loam,Wet,Transplanted,80.97697473946761,24.32128602103106,345.7414157001582,60.61031809842738,4.649813093558542,5.28
Dinorado,Clay,Wet,Transplanted,195.47311778615605,22.476123784274883,253.63462821281456,73.17073802063615,3.4455473675326056,4.78
NSIC Rc 222,Clay Loam,Dry,Direct Seeded,53.750616927588815,27.72565453897689,89.73992643223859,66.72456198535764,4.475737631082721,5.09
IR64,Sandy Loam,Wet,Direct Seeded,167.86732255906315,25.35854315860832,275.2450408582257,60.864214133538596,4.1361535391510795,4.44
NSIC 218,Sandy Loam,Dry,Direct Seeded,98.20549336113055,23.819414017484338,131.37244201150324,74.12528854602145,5.458199975019717,5.38
IR64,Clay Loam,Wet,Direct Seeded,55.6231935304489,25.239355660780337,325.1212525124533,66.17863677594879,5.167169250864622,3.96
NSIC 218,Clay,Dry,Transplanted,187.67038103143756,22.492802014477448,81.40422923245565,73.58225444519202,4.534218344685135,5.52
NSIC 218,Sandy Loam,Wet,Transplanted,70.94634953143753,31.504422340901034,157.78710866173492,68.3324995983086,3.2850238783094516,5.45
Dinorado,Silty Clay,Dry,Transplanted,132.7668925588543,27.811479149732605,94.98838633475083,78.11126610841299,3.2857244864514086,4.74
NSIC 218,Sandy Loam,Wet,Transplanted,91.10813111443217,30.147686813470248,372.7028534498115,89.72632160621879,5.1467314017068375,4.71
IR64,Silty Clay,Wet,Direct Seeded,59.77892032770366,26.231181975477305,342.45403985942335,76.41695762134995,4.256023195826179,4.22
NSIC 218,Clay,Wet,Direct Seeded,57.48837284950686,31.033146675661857,212.35397035058259,79.4068775067831,4.867845346156307,5.15
Dinorado,Sandy Loam,Wet,Direct Seeded,67.33350482545082,26.833182215522534,395.2949882972439,87.57827273253604,3.8495926196104904,3.86
Dinorado,Clay Loam,Dry,Transplanted,60.70505208340701,27.739453222006695,116.22077231803034,71.22001253175274,2.80922090995458,4.63
IR64,Clay Loam,Wet,Direct Seeded,164.08371732798844,26.91793980062657,194.84758814740468,64.99645349356749,3.498059374718878,4.42
NSIC Rc 160,Sandy Loam,Dry,Direct Seeded,122.83493034251437,29.332782958676518,69.56094097947118,68.4839184879166,2.9834475828650895,4.15
NSIC Rc 160,Clay,Wet,Transplanted,101.43381370234695,27.666560776020624,378.5216684261004,72.08384822143648,4.845498449276507,4.96
NSIC 218,Clay,Dry,Transplanted,112.75533651980108,24.715989235803978,20.30140819942847,79.35053043767515,4.6015359689712705,5.22
NSIC Rc 222,Clay Loam,Wet,Transplanted,189.3420103358935,23.455395313226465,231.11836458077778,60.13764088289163,2.765238767164122,6.1
NSIC 218,Sandy Loam,Wet,Transplanted,186.61277191072207,28.06124388882978,340.78667754103395,85.60149644300952,4.364156196285631,5.39
IR64,Clay,Dry,Transplanted,157.35147201838652,26.89179961547036,59.02328996007766,62.282819191494916,5.122406520984386,4.4
IR64,Clay Loam,Wet,Direct Seeded,182.70235661325316,22.95975696696113,264.09414831198626,87.0196544675565,4.5920928861999,4.98
IR64,Silty Clay,Wet,Direct Seeded,97.94720413814372,25.956174657932685,334.11684686250055,88.48303563614697,4.033335738953264,4.2
IR64,Sandy Loam,Dry,Transplanted,107.16639890124242,27.147764220004536,97.35219035143444,89.70308382336401,3.4355898548166617,4.53
IR64,Silty Clay,Wet,Direct Seeded,142.05682727813422,30.2689323382559,188.94576198484157,84.28530553220634,5.161290248757687,4.83
Dinorado,Silty Clay,Dry,Direct Seeded,143.54389209458964,22.761010558333624,36.92653174952676,64.25566577820457,3.7684146464230595,4.23
NSIC Rc 160,Clay,Wet,Direct Seeded,122.25497570185114,25.48495348246003,217.3766145966207,81.18501129675559,5.066180740701356,4.86
IR64,Clay,Dry,Direct Seeded,110.098677265693,30.226561227103854,30.773950889949607,66.0996387182453,4.848999514654591,4.2
NSIC Rc 222,Clay,Dry,Transplanted,197.92704674130428,28.484239317715787,51.03127624280127,86.91383506741212,4.948680895842579,5.77
NSIC Rc 222,Sandy Loam,Dry,Direct Seeded,173.16854391765867,24.89958321803787,14.49560471889499,69.49817776966034,5.4693925604849385,6.11
NSIC Rc 222,Silty Clay,Dry,Direct Seeded,115.24702968320678,30.453351220226423,114.07920573216876,69.80387931225124,4.746275547618893,5.83
NSIC Rc 222,Sandy Loam,Wet,Direct Seeded,159.0938715859353,26.932935805626926,174.9644561180064,87.529598877446,2.6021228071559452,5.41
Dinorado,Clay,Wet,Transplanted,90.43425398786891,26.983518913104604,366.2859953594508,60.396932123511135,3.1163018049422346,4.61
NSIC Rc 222,Silty Clay,Dry,Direct Seeded,65.02539893559948,31.765873392003844,46.22018430636743,65.81898454450709,2.6055854509754934,4.68
IR64,Sandy Loam,Wet,Transplanted,102.8646538329111,31.471165032363785,224.07324694237482,72.65796799690365,3.069740709825072,4.47
NSIC 218,Sandy Loam,Wet,Transplanted,110.44592001850913,25.58532683369844,323.6190573541659,81.02164701930579,2.68431853205834,4.78
NSIC Rc 222,Clay Loam,Wet,Transplanted,52.48056868410062,23.405791286630823,355.05529943538204,79.42698498134206,4.004851123558758,6.1
Dinorado,Sandy Loam,Dry,Transplanted,172.2188002453844,25.25666732278094,27.393375529123933,80.08235625501447,2.5846186393992334,4.61
Dinorado,Clay,Wet,Direct Seeded,103.87901035837723,22.30483260311388,375.3545590948365,86.40066085231993,3.917737298845778,4.32
NSIC Rc 222,Sandy Loam,Wet,Transplanted,137.06272486702204,22.207678867103912,176.57427882792945,63.630912368797695,5.1965227213600365,6.2
NSIC 218,Silty Clay,Dry,Transplanted,61.09447809064339,25.95522136251419,107.87811823488093,75.66485088656312,4.745728037724428,5.31
NSIC Rc 222,Sandy Loam,Wet,Transplanted,76.2495243125876,31.41019822697234,373.25373337815313,81.76433067307465,5.331867770955268,5.32
Dinorado,Clay Loam,Dry,Transplanted,183.454058799134,30.713573412322077,128.0099217560603,79.08355328772494,3.1799403212695614,4.75
NSIC Rc 160,Silty Clay,Dry,Transplanted,141.30312918242012,27.11442833917623,12.782583420648983,73.44942359817803,4.093257449215882,4.36
IR64,Silty Clay,Dry,Direct Seeded,192.54260752557283,27.65226381170831,42.70396790377148,60.51343757616492,3.4557383594975164,4.48
Dinorado,Clay Loam,Wet,Transplanted,199.81250515869755,22.059334967460565,199.31319443267986,61.81356796943654,3.981459387076102,5.07
NSIC Rc 222,Clay,Wet,Direct Seeded,105.77901729996415,24.155011558337655,334.2255028977404,63.5682398056151,4.171227488752866,5.19
IR64,Silty Clay,Dry,Direct Seeded,94.82045961249119,22.247741269343837,142.33252548174167,70.29683258506091,2.6085583914275956,3.64
NSIC Rc 222,Clay,Dry,Transplanted,178.75340827386452,29.545395326953876,63.935579030588535,63.52960358001441,3.1997684056449494,5.84
NSIC Rc 222,Silty Clay,Dry,Direct Seeded,199.79171405561814,23.456457960264977,141.40288887347037,72.78246939187825,4.6143183377319925,5.68
NSIC Rc 160,Silty Clay,Dry,Direct Seeded,144.44618513486859,30.69047102476817,48.389755371894836,65.35925971756738,4.818784073620899,4.22
IR64,Clay,Dry,Direct Seeded,169.27110837672836,28.43324313675788,40.529468980070476,83.37498592578618,4.2083541024625095,4.57
IR64,Silty Clay,Dry,Transplanted,167.26187882229118,24.294186765157132,39.97517764191942,86.14462850136647,3.31248708384603,4.38
NSIC Rc 160,Clay,Wet,Transplanted,103.30095623293204,23.577203170832497,332.2122548411528,71.68942523904528,3.71525235016822,3.93
Dinorado,Clay Loam,Dry,Transplanted,136.1405570385631,28.27624700923053,21.932012459491357,75.33995295946916,2.7881104356441537,4.6
NSIC Rc 222,Clay,Dry,Transplanted,174.95854118963206,31.008369802823236,135.50052039127758,88.60488724682824,5.359538850377775,6.14
NSIC 218,Clay Loam,Dry,Transplanted,153.21708143915833,29.183602189143816,147.17690316860615,76.0652326604586,5.106032413630865,6.05
NSIC Rc 222,Silty Clay,Wet,Transplanted,53.17457209730574,25.485466516033775,152.12578543523856,89.85219647530275,2.69680704072239,5.18
NSIC Rc 222,Clay,Wet,Transplanted,100.50585033463003,27.87383595268647,205.15597707756356,64.26392981076164,2.9994719969749912,5.59
Dinorado,Silty Clay,Wet,Direct Seeded,71.6713544891908,25.107616953724214,272.9771286662168,85.86679261790096,4.243283323566261,4.32
NSIC Rc 222,Clay,Wet,Direct Seeded,84.94583181170586,31.991495667786587,255.00867666582053,74.91609008018897,3.1972902223876476,4.91
NSIC Rc 160,Clay Loam,Dry,Transplanted,185.82342162369886,29.488391884618512,143.6312330180293,60.681423337490045,5.303202094042385,5.13
NSIC Rc 160,Clay Loam,Wet,Direct Seeded,55.533993336615225,28.143816397567537,379.6433699711524,89.16668824318046,4.766771742613224,4.22
IR64,Clay,Dry,Transplanted,82.97010679428857,26.232591427658292,129.28393957581835,88.95143699230074,3.3198745387332482,4.55
NSIC 218,Clay Loam,Dry,Transplanted,96.43540283573472,28.181522902595574,128.5643070711365,71.49812520548662,2.5183042335714285,5.19
NSIC Rc 222,Silty Clay,Dry,Transplanted,142.53261079495923,25.41616062467335,102.55196540365827,88.62426213257714,4.898342173608924,5.62
NSIC Rc 222,Silty Clay,Dry,Direct Seeded,130.11525351287983,22.288648394580306,125.6699196730859,64.23028926715637,3.772269128803197,5.51
Dinorado,Sandy Loam,Dry,Transplanted,82.74042242800792,25.950885223566328,39.167931008026684,80.40330423362047,4.427133135573332,4.67
NSIC Rc 160,Clay Loam,Dry,Transplanted,74.63616008347317,31.30480819579867,64.307768254198,65.75786960663504,3.3609244762638926,3.99
NSIC 218,Silty Clay,Wet,Transplanted,85.51970518941782,28.263010947738657,239.93521737563077,67.39941709004484,2.9286197780745127,4.95
IR64,Clay,Wet,Transplanted,125.37944400524833,22.839557030709017,384.2459287089906,83.38012311607817,4.525934775357237,4.1
NSIC Rc 160,Clay Loam,Wet,Direct Seeded,90.67666785668052,30.84993613395026,264.85732959813276,71.32074253695885,3.8509737644399773,3.79
IR64,Silty Clay,Wet,Transplanted,192.14037524115832,24.688748493415147,391.0882241600415,60.213825084858634,3.205509103209943,4.49
Dinorado,Clay Loam,Wet,Direct Seeded,119.57978321432714,24.437694930827274,334.3387025062153,72.42715272586784,2.9128839986986095,4.23
Dinorado,Clay,Dry,Direct Seeded,58.81940248169556,24.970909687803207,99.71708106126471,66.84207961898879,4.2414387833249005,4.23
NSIC Rc 222,Silty Clay,Wet,Transplanted,159.389960875495,27.772022361259573,357.333647908039,80.49989740674874,4.676649820622723,5.56
NSIC 218,Sandy Loam,Wet,Transplanted,99.32679323134843,27.446880934339767,176.21922208725024,65.83346090170501,3.351660886369346,5.72
IR64,Sandy Loam,Wet,Direct Seeded,148.02333980873715,26.914137546228815,296.53535831059196,85.26760585309427,4.705427606041372,4.49
