variety_maturity_days,variety_max_yield,variety_avg_yield,land_area_ha,fertilizer_kg_ha,historical_yield_tons_ha,temperature_avg,rainfall_mm,humidity_avg,yield_class,yield_tons_ha,variety_Angelica (NSIC Rc122),variety_NSIC 2016 Rc 456H (Mestiso 78),variety_NSIC RC 402 (Tubigan 36),variety_NSIC Rc 480,variety_NSIC Rc 486 (Mestiso 80),variety_NSIC Rc 512 (Tubigan 44),variety_NSIC Rc 534 (Salinas 29),variety_NSIC Rc 666H,variety_NSIC Rc124H (MESTISO 4),variety_NSIC Rc132H (MESTISO 6),variety_NSIC Rc160 (Tubigan 14),variety_NSIC Rc204H (Mestiso 20),variety_NSIC Rc216 (Tubigan 17),variety_NSIC Rc222 (Tubigan 18),variety_NSIC Rc234H (MESTISO 27),variety_NSIC Rc440(Tubigan 39),variety_PSB Rc18 (Ala),variety_PSB Rc72H (Mestiso),classification_Hybrid,classification_Inbred,soil_type_Clay,soil_type_Clay Loam,soil_type_Sandy Loam,soil_type_Silty Clay,season_Dry,season_Wet,seeding_method_Direct Seeded,seeding_method_Transplanted
104,9.3,5.7,1.62,47.0,4.42,26.35,105.6,63.5,Low,2.479,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
123,8.1,5.1,2.01,122.0,3.0,30.61,299.8,71.9,Low,2.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
122,8.2,5.6,1.97,48.4,3.93,25.94,147.6,85.4,Low,2.694,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
123,8.1,5.1,1.8,76.8,3.23,26.88,283.9,89.8,Low,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0
105,10.1,5.6,2.71,81.3,4.15,27.91,314.5,57.9,Low,3.179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
123,8.1,5.1,2.03,68.1,4.39,21.86,328.6,93.9,Low,2.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
114,14.0,5.5,3.6,96.4,3.7,27.2,11.7,74.8,Low,2.597,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
121,5.0,4.7,0.65,44.7,4.05,28.07,353.8,75.2,Low,2.207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
118,9.1,5.7,3.0,57.3,4.25,31.4,239.8,78.3,Low,2.606,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
113,8.7,5.9,5.0,50.6,4.91,22.37,300.9,77.5,Low,3.766,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
121,5.0,4.7,5.36,55.0,3.59,33.83,275.1,70.9,Low,3.483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
110,6.79,5.22,0.38,82.5,3.9,29.95,253.6,77.6,Low,2.527,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
123,8.1,5.1,2.49,102.1,3.28,31.58,253.6,67.4,Low,4.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
121,5.0,4.7,5.2,64.0,3.2,25.37,252.2,69.9,Low,2.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
123,9.9,5.4,5.62,67.2,4.39,19.43,238.2,70.2,Low,2.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
121,5.0,4.7,1.54,79.6,3.4,31.13,261.3,76.1,Low,2.729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
109,10.8,5.5,3.44,73.5,4.17,28.7,146.0,72.5,Low,3.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
105,10.1,5.6,3.19,54.2,4.79,20.66,96.6,85.2,Low,2.834,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,14.0,5.5,2.22,64.2,4.55,30.34,290.4,98.4,Low,2.895,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
123,9.9,5.4,5.38,57.0,4.27,26.44,281.4,87.3,Low,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
109,10.8,5.5,4.63,76.8,3.87,28.19,111.3,65.2,Low,2.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
121,5.0,4.7,1.39,57.7,3.53,22.93,353.8,85.5,Low,2.378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
123,9.9,5.4,2.61,75.3,4.49,31.68,112.2,64.0,Low,3.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
113,8.7,5.9,4.69,44.6,4.96,25.06,357.3,79.0,Low,3.191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
110,6.79,5.22,2.9,44.0,4.24,27.17,263.4,80.6,Low,2.506,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
110,6.79,5.22,1.25,83.9,3.67,26.55,176.6,85.4,Low,3.194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
104,9.3,5.7,4.05,49.2,3.92,24.5,139.3,80.4,Low,3.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
121,5.0,4.7,0.46,42.1,2.78,26.56,155.1,73.1,Low,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
123,9.9,5.4,2.3,90.8,3.42,26.04,283.1,62.8,Low,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
121,5.0,4.7,5.9,74.5,4.04,29.25,298.6,54.6,Low,2.927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
121,5.0,4.7,2.6,54.0,3.17,31.34,70.3,75.2,Low,2.974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
115,9.8,6.5,4.2,49.2,5.28,25.45,39.5,81.1,Low,2.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
123,8.1,5.1,1.21,68.4,3.27,26.75,316.0,87.9,Low,3.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0
121,5.0,4.7,3.09,66.7,3.73,27.39,179.0,85.8,Low,4.019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
105,10.1,5.6,3.09,62.9,4.7,30.57,290.1,73.7,Low,4.376,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
106,7.9,5.7,1.72,50.3,4.45,29.99,336.3,61.6,Low,2.507,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
104,9.3,5.7,5.68,50.5,5.11,31.73,58.4,66.9,Low,2.361,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
110,6.79,5.22,5.5,50.6,4.31,22.99,116.2,75.7,Low,3.371,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
107,8.2,5.6,4.38,94.7,4.18,26.71,322.4,71.6,Low,2.343,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
106,7.9,5.7,5.62,71.3,3.87,23.34,247.6,87.6,Low,2.979,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
121,5.0,4.7,0.64,86.5,3.3,29.74,219.8,78.8,Low,3.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
110,6.79,5.22,4.88,47.1,4.25,22.55,317.8,100.2,Low,3.076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
109,10.8,5.5,1.88,57.7,4.68,26.65,376.5,93.5,Low,2.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
105,10.1,5.6,1.62,48.8,5.02,31.44,103.2,96.6,Low,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
111,11.7,6.4,1.89,53.1,4.67,25.83,140.7,89.1,Low,3.719,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
113,8.7,5.9,2.51,63.9,4.03,28.5,83.8,83.2,Low,3.952,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
123,8.1,5.1,5.2,104.1,4.06,28.9,353.4,77.1,Low,2.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
118,9.1,5.7,5.04,55.3,4.1,28.11,377.3,77.6,Low,5.084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
115,9.8,6.5,3.18,49.5,5.22,23.41,193.5,91.0,Low,3.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
121,5.0,4.7,3.74,125.2,3.43,25.87,113.3,70.1,Low,3.163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
123,8.1,5.1,5.67,93.9,3.7,29.9,152.1,90.1,Low,3.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
123,9.9,5.4,4.98,67.8,4.32,22.31,348.4,88.5,Low,4.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
110,6.79,5.22,3.67,63.6,4.01,31.47,153.2,77.0,Low,2.341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
121,5.0,4.7,3.79,46.3,4.47,33.89,140.2,85.5,Low,3.689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
123,9.9,5.4,4.84,91.1,3.99,30.67,337.9,79.4,Low,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
104,9.3,5.7,5.09,60.5,4.33,26.02,368.8,93.7,Low,3.695,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
104,9.3,5.7,1.88,81.3,3.76,25.2,273.4,92.8,Low,2.506,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
109,10.8,5.5,3.82,59.9,4.14,26.25,77.8,61.2,Low,2.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0
114,14.0,5.5,1.19,46.8,4.33,23.49,229.9,77.7,Low,3.544,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
121,5.0,4.7,5.86,42.0,3.82,26.98,261.2,82.4,Low,3.615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
110,6.79,5.22,1.38,45.5,3.84,30.63,164.1,71.1,Low,2.47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
110,6.79,5.22,4.55,53.2,3.9,32.77,248.3,95.1,Low,2.29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
107,4.4,3.2,4.59,42.4,2.23,26.06,278.6,77.9,Low,2.015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
107,4.4,3.2,0.94,155.6,2.09,27.95,287.3,60.5,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,0.63,132.2,2.45,28.65,303.2,71.9,Low,2.351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,2.94,122.1,2.03,26.58,172.1,97.3,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,1.91,51.3,1.83,26.08,71.2,62.8,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
107,4.4,3.2,4.1,129.1,2.53,29.47,283.7,71.0,Low,2.795,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,3.91,117.2,2.21,29.96,212.5,75.0,Low,2.544,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,5.19,134.0,2.81,30.74,301.7,77.3,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,3.95,80.9,2.18,28.47,232.0,73.3,Low,2.012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
107,4.4,3.2,5.76,91.7,2.8,28.12,348.8,67.9,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,5.21,72.4,2.28,34.09,232.5,67.9,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
107,4.4,3.2,1.14,79.9,1.85,27.77,282.1,83.1,Low,2.429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,1.11,50.7,2.85,30.06,242.3,94.9,Low,2.323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,4.07,56.3,2.76,23.11,236.3,69.1,Low,2.674,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
107,4.4,3.2,2.06,71.9,1.72,27.79,64.3,76.7,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
107,4.4,3.2,1.43,47.4,2.93,26.4,90.2,88.1,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,2.86,114.0,2.13,27.1,160.0,69.4,Low,2.925,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,2.28,75.9,1.4,28.63,268.2,77.6,Low,2.764,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
107,4.4,3.2,4.97,84.6,2.61,28.23,80.5,82.0,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,5.29,71.0,2.72,29.18,-3.1,80.8,Low,2.042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
107,4.4,3.2,3.91,49.9,2.84,26.81,100.2,70.7,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,5.06,41.2,2.72,24.03,167.8,74.9,Low,2.837,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
107,4.4,3.2,4.61,50.6,3.21,25.86,52.6,89.9,Low,2.637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,4.52,42.8,2.86,22.88,162.7,71.3,Low,2.206,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
107,4.4,3.2,4.47,50.2,2.63,31.2,220.3,56.4,Low,2.585,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
107,4.4,3.2,5.23,47.4,2.59,26.15,174.5,75.6,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
107,4.4,3.2,5.83,48.1,3.38,31.06,8.6,74.6,Low,2.412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,4.01,47.7,1.78,31.44,147.6,77.1,Low,2.522,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
107,4.4,3.2,3.18,61.6,1.81,30.05,127.4,93.4,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
107,4.4,3.2,4.37,125.7,1.98,23.73,166.3,90.3,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
107,4.4,3.2,4.69,116.8,1.62,25.33,206.7,89.6,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
107,4.4,3.2,2.11,102.8,1.49,25.65,59.0,67.6,Low,2.328,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
107,4.4,3.2,3.56,44.0,1.82,28.11,145.9,91.5,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
107,4.4,3.2,1.34,64.6,1.79,26.23,82.4,79.4,Low,2.492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
107,4.4,3.2,3.76,73.2,2.75,25.04,199.2,56.7,Low,2.175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,4.49,173.1,1.71,31.32,202.0,59.8,Low,2.158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,1.19,90.1,1.06,30.06,186.0,93.5,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
107,4.4,3.2,4.81,95.2,2.4,25.2,325.3,74.5,Low,2.814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,5.99,94.0,1.9,29.15,180.6,70.6,Low,2.352,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
107,4.4,3.2,3.79,67.2,2.14,32.33,109.1,79.9,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
107,4.4,3.2,4.81,104.9,2.37,30.6,231.2,59.9,Low,2.237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,4.14,92.5,2.06,26.03,263.1,70.9,Low,2.151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
107,4.4,3.2,5.77,62.5,1.69,25.45,381.2,77.3,Low,2.291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
107,4.4,3.2,0.43,115.3,2.44,28.25,83.5,102.5,Low,2.099,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,3.43,70.7,2.61,31.2,161.7,84.0,Low,2.724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,5.08,65.4,2.01,24.53,364.5,53.8,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
107,4.4,3.2,3.93,107.6,2.07,27.09,133.2,78.6,Low,2.314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
107,4.4,3.2,4.55,69.9,1.79,29.39,213.6,79.1,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
107,4.4,3.2,3.41,45.3,2.62,29.29,234.6,54.4,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
107,4.4,3.2,4.64,62.4,2.55,26.87,198.4,86.3,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,2.74,106.0,2.02,26.65,68.8,74.1,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
107,4.4,3.2,5.99,73.0,1.08,25.57,314.8,69.0,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
107,4.4,3.2,3.09,49.8,2.5,27.73,246.1,69.8,Low,2.165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
107,4.4,3.2,3.46,62.7,2.51,27.26,182.1,88.0,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
107,4.4,3.2,3.32,46.3,2.59,27.71,172.1,88.7,Low,2.554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
107,4.4,3.2,1.86,54.0,1.68,26.64,192.0,74.3,Low,2.742,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,0.49,67.4,2.93,29.51,166.2,79.6,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,4.46,47.9,2.12,28.81,197.9,62.6,Low,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
107,4.4,3.2,2.94,140.7,2.61,24.64,311.3,60.4,Low,2.099,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,4.4,3.2,1.89,61.7,2.41,22.56,330.0,61.4,Low,2.119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
